Pledge ID,Tax ID Number,Name1,Name2,Account Number,Effective Interest Rate,Account Type,Class Code Description,Current Balance
12888,2435443464,Justin's Computers Inc.,,301300,2.00%,DDA,Demand Deposit,124930.86
13922,3918355426,Fake Name 1,,639629,1.00%,DDA,Demand Deposit,42284.96
16681,2962545564,Fake Name 2,,805240,1.00%,SAV,Savings,203416.65
10810,5227171960,Cats R Us,,294874,1.00%,DDA,Demand Deposit,407900.97
12993,3431970160,Fake Name 3,,933464,1.00%,DDA,Demand Deposit,81953.22
15693,6599229098,Fake Name 4,,174689,1.00%,DDA,Demand Deposit,145237.62
10637,7889490217,Fake Name 5,,192912,1.00%,DDA,Demand Deposit,23191.07
15551,2435443464,Fake Name 7,,799105,1.00%,SAV,Savings,527277.39
10640,2435443464,New Company,,600234,1.00%,DDA,Demand Deposit,246648.38
18733,5318860575,Fake Name 6,,980958,1.00%,DDA,Demand Deposit,928706.57
16640,9829187287,Thomas' Toys,,275311,1.00%,DDA,Demand Deposit,189006.07
18226,7310940149,Fake Name 8,,224187,1.00%,DDA,Demand Deposit,1696370.83
12550,7310940149,Fake Name 9,,301347,1.00%,SAV,Savings,411407.66
12683,7310940149,Fake Name 10,,925500,1.00%,DDA,Demand Deposit,40416.70
10006,3868021026,Fake Name 11,,541890,1.00%,DDA,Demand Deposit,508295.06
17018,7198549465,Fake Name 12,,716329,1.00%,DDA,Demand Deposit,64294.26
16552,7211661291,Fake Name 13,,206365,1.00%,DDA,Demand Deposit,91739.73
15197,3538957167,Fake Name 14,,857986,1.00%,SAV,Savings,8951.32
13844,4852093825,Fake Name 15,,804284,1.00%,DDA,Demand Deposit,493.51
18722,3154640429,Fake Name 16,,953275,1.00%,DDA,Demand Deposit,58854.59
12443,9884240930,Fake Name 17,,523888,1.00%,DDA,Demand Deposit,90581.77
15261,9021126518,Fake Name 18,,560307,1.00%,DDA,Demand Deposit,752.11
19693,2601922348,Fake Name 19,,343666,1.00%,SAV,Savings,0.00
11504,3708607399,Fake Name 20,,301686,1.00%,DDA,Demand Deposit,40684.72
14800,9386299838,Fake Name 21,,747962,1.00%,DDA,Demand Deposit,242115.54
13464,3078742846,Fake Name 22,,397466,1.00%,DDA,Demand Deposit,99725.74
12148,7164689214,Fake Name 23,,972170,1.00%,DDA,Demand Deposit,273806.48
13915,8855499159,Fake Name 24,,723509,1.00%,SAV,Savings,204953.53
18979,7750263691,Fake Name 25,,414885,1.00%,DDA,Demand Deposit,1540109.61
13077,6114058210,Fake Name 26,,618295,1.00%,DDA,Demand Deposit,172601.38
16123,6291102079,Fake Name 27,,497660,1.00%,DDA,Demand Deposit,3748124.44
18990,4054022078,Fake Name 28,,896922,1.00%,DDA,Demand Deposit,182933.43
12585,4528108605,Fake Name 29,,894324,1.00%,SAV,Savings,30302.06
19416,5999194344,Fake Name 30,,913974,1.00%,DDA,Demand Deposit,339792.90
12459,8424029811,Fake Name 31,,867272,1.00%,DDA,Demand Deposit,24553.22
19646,1640242282,Fake Name 32,,372379,1.00%,DDA,Demand Deposit,20837.04
14017,8628108581,Fake Name 33,,882508,1.00%,DDA,Demand Deposit,270967.37
13825,2623124132,Fake Name 34,,114387,1.00%,SAV,Savings,9092.54
15677,3434757289,Fake Name 35,,176367,1.00%,DDA,Demand Deposit,4017.38
11365,9535683258,Fake Name 36,,364000,1.00%,DDA,Demand Deposit,5547.80
18474,1100760216,Fake Name 37,,781304,1.00%,DDA,Demand Deposit,163996.31
10214,3555257764,Fake Name 38,,927631,1.00%,DDA,Demand Deposit,109330.85
13346,2310644035,Fake Name 39,,561037,1.00%,SAV,Savings,19789.18
14550,2828494004,Fake Name 40,,715619,1.00%,DDA,Demand Deposit,32932.78
12111,9709987542,Fake Name 41,,984696,1.00%,DDA,Demand Deposit,10068.97
10428,8477785773,Fake Name 42,,501605,1.00%,DDA,Demand Deposit,1151511.23
12814,8212370261,Fake Name 43,,597550,1.00%,DDA,Demand Deposit,21335.46
20000,6102847006,Fake Name 44,,200533,1.00%,SAV,Savings,23939.90
12227,7560338786,Fake Name 45,,840426,1.00%,DDA,Demand Deposit,25995.44
17589,4422110810,Fake Name 46,,318752,1.00%,DDA,Demand Deposit,7064.34
15215,1018327515,Fake Name 47,,763627,1.00%,DDA,Demand Deposit,13144.00
13757,5315365631,Fake Name 48,,589730,1.00%,DDA,Demand Deposit,3200.00
12978,4995640364,Fake Name 49,,818161,1.00%,SAV,Savings,12604.00
10642,3832199032,Fake Name 50,,499186,1.00%,DDA,Demand Deposit,12388.00
15353,2531114862,Fake Name 51,,755947,1.00%,DDA,Demand Deposit,5.00
15815,9359873386,Fake Name 52,,320350,1.00%,DDA,Demand Deposit,5.00
16640,9829187287,Thomas' Toys,,308423,1.00%,DDA,Demand Deposit,96609.28
12985,2900959667,Fake Name 54,,252390,1.00%,SAV,Savings,68278.32
16084,9247498234,Fake Name 55,,367306,1.00%,DDA,Demand Deposit,34.14
18402,1374357980,Fake Name 56,,943186,1.00%,DDA,Demand Deposit,53701.10
12061,4886159380,Fake Name 57,,942965,1.00%,DDA,Demand Deposit,64665.78
11920,1751529143,Fake Name 58,,228231,1.00%,DDA,Demand Deposit,1.00
15174,5269260151,Fake Name 59,,154779,1.00%,SAV,Savings,100686.92
11427,2390667980,Fake Name 60,,467456,1.00%,DDA,Demand Deposit,250243.77
15274,3674388059,Fake Name 61,,224025,1.00%,DDA,Demand Deposit,206863.72
13320,9371985476,Fake Name 62,,540230,1.00%,DDA,Demand Deposit,194075.00
10351,1700143508,Fake Name 63,,480748,1.00%,DDA,Demand Deposit,207666.00
16244,8984409555,Fake Name 64,,174184,1.00%,SAV,Savings,97055.61
14388,4730969491,Fake Name 65,,775533,1.00%,DDA,Demand Deposit,491160.26
19102,5522874880,Fake Name 66,,207975,1.00%,DDA,Demand Deposit,12574.64
16105,2661802543,Fake Name 67,,652399,1.00%,DDA,Demand Deposit,15574.75
17314,7900456892,Fake Name 68,,134262,1.00%,DDA,Demand Deposit,14931.25
11528,7657964522,Fake Name 69,,722269,1.00%,SAV,Savings,23592.01
18506,2927355743,Fake Name 70,,188214,1.00%,DDA,Demand Deposit,838456.58
10287,7291985015,Fake Name 71,,576755,1.00%,DDA,Demand Deposit,3186.07
18314,9347351367,Fake Name 72,,133031,1.00%,DDA,Demand Deposit,5126.14
20001,9883717966,Fake Name 73,,503715,1.00%,DDA,Demand Deposit,3336.04
12354,6842542016,Fake Name 74,,650891,1.00%,SAV,Savings,3189.70
