Pledge ID,Tax ID Number,Name1,Name2,Account Number,Effective Interest Rate,Account Type,Class Code Description,Current Balance
12888,2435443464,Justin's Computers Inc.,,301300,2.00%,DOA,Demand Deposit,500000
13922,3918355426,Fake Name 1,,639629,1.00%,DOA,Demand Deposit,5000000
16681,2962545564,Fake Name 2,,805240,1.00%,SAV,Savings,20000
10810,5227171960,Cats R Us,,294874,1.00%,DOA,Demand Deposit,300000
12993,3431970160,Fake Name 3,,933464,1.00%,DOA,Demand Deposit,250000
15693,6599229098,Fake Name 4,,174689,1.00%,COD,Certificate of Deposit,1034055
10637,7889490217,Fake Name 5,,192912,1.00%,SAV,Savings,400322
15551,2435443464,Fake Name 7,,799105,1.00%,COD,Certificate of Deposit,1220000
10640,2435443464,New Company,,600234,1.00%,COD,Certificate of Deposit,15000000
18733,5318860575,Fake Name 6,,980958,1.00%,DOA,Demand Deposit,12222
16640,587443926,Thomas' Toys,,275311,1.00%,COD,Certificate of Deposit,30000
18226,7310940149,Fake Name 8,,224187,1.00%,DOA,Demand Deposit,222345
12550,7310940149,Fake Name 9,,301347,1.00%,COD,Certificate of Deposit,10101
12683,7310940149,Fake Name 10,,925500,1.00%,DOA,Demand Deposit,433332
